Location,Opioid Overdose Deaths,All Drug Overdose Deaths,Opioid Overdose Deaths as a Percent of All Drug Overdose Deaths
United States,23157,41502,0.56
Alabama,165,562,0.29
Alaska,81,129,0.63
Arizona,526,1134,0.46
Arkansas,169,373,0.45
California,1719,4040,0.43
Colorado,407,807,0.5
Connecticut,201,439,0.46
Delaware,82,141,0.58
District of Columbia,44,77,0.57
Florida,1326,2597,0.51
Georgia,536,1056,0.51
Hawaii,62,155,0.4
Idaho,59,181,0.33
Illinois,1151,1628,0.71
Indiana,375,1011,0.37
Iowa,171,259,0.66
Kansas,171,318,0.54
Kentucky,673,1078,0.62
Louisiana,169,566,0.3
Maine,100,150,0.67
Maryland,657,831,0.79
Massachusetts,691,859,0.8
Michigan,685,1308,0.52
Minnesota,290,482,0.6
Mississippi,111,310,0.36
Missouri,539,942,0.57
Montana,51,118,0.43
Nebraska,53,146,0.36
Nevada,446,602,0.74
New Hampshire,133,173,0.77
New Jersey,602,1222,0.49
New Mexico,319,492,0.65
New York,1530,2106,0.73
North Carolina,833,1298,0.64
North Dakota,NSD,21,NSD
Ohio,1355,2125,0.64
Oklahoma,531,771,0.69
Oregon,361,490,0.74
Pennsylvania,827,2365,0.35
Rhode Island,140,196,0.71
South Carolina,237,587,0.4
South Dakota,24,42,0.57
Tennessee,723,1131,0.64
Texas,1131,2447,0.46
Utah,422,601,0.7
Vermont,55,70,0.79
Virginia,533,733,0.73
Washington,695,985,0.71
West Virginia,468,558,0.84
Wisconsin,483,692,0.7
Wyoming,45,98,0.46
