"Location","Opioid Overdose Deaths","All Drug Overdose Deaths","Opioid Overdose Deaths as a Percent of All Drug Overdose Deaths"
"United States","28647","47055","0.61"
"Alabama","270","723","0.37"
"Alaska","76","124","0.61"
"Arizona","589","1211","0.49"
"Arkansas","173","356","0.49"
"California","2024","4521","0.45"
"Colorado","517","899","0.58"
"Connecticut","525","623","0.84"
"Delaware","124","189","0.66"
"District of Columbia","63","96","0.66"
"Florida","1399","2634","0.53"
"Georgia","710","1206","0.59"
"Hawaii","59","157","0.38"
"Idaho","78","212","0.37"
"Illinois","1205","1705","0.71"
"Indiana","462","1172","0.39"
"Iowa","158","264","0.6"
"Kansas","173","332","0.52"
"Kentucky","729","1077","0.68"
"Louisiana","260","777","0.33"
"Maine","171","216","0.79"
"Maryland","921","1070","0.86"
"Massachusetts","1140","1289","0.88"
"Michigan","1052","1762","0.6"
"Minnesota","318","517","0.62"
"Mississippi","115","336","0.34"
"Missouri","696","1067","0.65"
"Montana","53","125","0.42"
"Nebraska","56","125","0.45"
"Nevada","375","545","0.69"
"New Hampshire","297","334","0.89"
"New Jersey","728","1253","0.58"
"New Mexico","402","547","0.73"
"New York","1739","2300","0.76"
"North Carolina","967","1358","0.71"
"North Dakota","31","43","0.72"
"Ohio","2106","2744","0.77"
"Oklahoma","502","777","0.65"
"Oregon","340","522","0.65"
"Pennsylvania","1092","2732","0.4"
"Rhode Island","205","247","0.83"
"South Carolina","515","701","0.73"
"South Dakota","33","63","0.52"
"Tennessee","863","1269","0.68"
"Texas","1151","2601","0.44"
"Utah","455","603","0.75"
"Vermont","64","83","0.77"
"Virginia","758","980","0.77"
"Washington","673","979","0.69"
"West Virginia","554","627","0.88"
"Wisconsin","627","853","0.74"
"Wyoming","54","109","0.5"
