"Location","0-24","25-34","35-44","45-54","55+","Total"
"United States","2616","5284","5056","6258","3566","22784"
"Alabama","23","40","37","56","20","176"
"Alaska","NSD","NSD","NSD","NSD","NSD","66"
"Arizona","77","123","106","138","118","562"
"Arkansas","21","46","46","41","15","169"
"California","208","331","348","580","471","1938"
"Colorado","58","92","95","98","75","418"
"Connecticut","34","53","47","51","24","209"
"Delaware","15","33","18","33","14","113"
"District of Columbia","NSD","NSD","NSD","19","17","51"
"Florida","121","393","338","460","264","1576"
"Georgia","70","121","132","148","64","535"
"Hawaii","NSD","NSD","16","24","24","77"
"Idaho","11","15","18","19","14","77"
"Illinois","127","263","199","213","105","907"
"Indiana","39","97","80","94","46","356"
"Iowa","21","38","41","46","26","172"
"Kansas","11","29","28","31","19","118"
"Kentucky","48","155","201","192","73","669"
"Louisiana","NSD","NSD","NSD","NSD","NSD","116"
"Maine","NSD","NSD","NSD","NSD","NSD","85"
"Maryland","68","138","103","165","72","546"
"Massachusetts","69","181","155","165","84","655"
"Michigan","83","174","168","192","97","714"
"Minnesota","34","53","61","78","60","286"
"Mississippi","NSD","17","28","24","NSD","79"
"Missouri","74","156","140","156","69","595"
"Montana","NSD","NSD","NSD","NSD","NSD","63"
"Nebraska","NSD","16","NSD","16","10","53"
"Nevada","57","86","87","127","104","461"
"New Hampshire","17","34","34","42","27","154"
"New Jersey","72","103","98","121","59","454"
"New Mexico","32","53","51","57","50","243"
"New York","173","315","278","387","203","1356"
"North Carolina","92","195","194","233","107","822"
"North Dakota","NSD","NSD","NSD","NSD","NSD","10"
"Ohio","111","293","288","408","172","1272"
"Oklahoma","54","98","95","159","77","483"
"Oregon","38","80","98","96","80","392"
"Pennsylvania","106","222","157","180","87","752"
"Rhode Island","NSD","NSD","NSD","NSD","NSD","142"
"South Carolina","30","56","58","67","32","243"
"South Dakota","NSD","NSD","10","NSD","NSD","34"
"Tennessee","48","141","171","188","85","633"
"Texas","217","274","229","278","179","1178"
"Utah","59","94","88","89","51","381"
"Vermont","NSD","10","16","13","NSD","55"
"Virginia","72","136","152","152","63","575"
"Washington","60","132","158","194","153","697"
"West Virginia","33","138","163","157","59","550"
"Wisconsin","64","127","90","120","72","473"
"Wyoming","NSD","NSD","10","NSD","11","43"
