Location,0-24,25-34,35-44,45-54,55+,Total
United States,2410,5419,5086,6299,3950,23157
Alabama,18,45,44,42,16,165
Alaska,13,25,14,17,12,81
Arizona,61,107,107,140,111,526
Arkansas,25,37,40,38,29,169
California,170,313,290,471,475,1719
Colorado,44,99,89,97,78,407
Connecticut,25,50,49,52,24,201
Delaware,11,21,16,23,11,82
District of Columbia,NSD,NSD,13,18,11,44
Florida,87,275,280,397,287,1326
Georgia,50,123,131,146,86,536
Hawaii,NSD,NSD,NSD,NSD,NSD,62
Idaho,NSD,NSD,NSD,NSD,NSD,59
Illinois,160,309,241,302,138,1151
Indiana,57,97,89,83,49,375
Iowa,14,31,45,52,29,171
Kansas,22,39,42,44,24,171
Kentucky,55,151,157,212,98,673
Louisiana,22,51,34,32,30,169
Maine,NSD,NSD,NSD,NSD,NSD,100
Maryland,76,157,132,194,98,657
Massachusetts,53,192,169,192,85,691
Michigan,77,184,126,192,106,685
Minnesota,44,70,49,69,58,290
Mississippi,NSD,NSD,NSD,NSD,NSD,111
Missouri,49,147,131,134,78,539
Montana,NSD,13,NSD,18,NSD,51
Nebraska,NSD,12,13,12,NSD,53
Nevada,38,71,82,136,119,446
New Hampshire,14,37,34,35,13,133
New Jersey,80,146,142,166,68,602
New Mexico,30,69,84,71,65,319
New York,174,363,307,414,272,1530
North Carolina,92,172,198,240,131,833
North Dakota,NSD,NSD,NSD,NSD,NSD,NSD
Ohio,125,350,339,373,168,1355
Oklahoma,48,107,107,161,108,531
Oregon,34,73,76,107,71,361
Pennsylvania,105,261,172,193,96,827
Rhode Island,10,29,30,44,27,140
South Carolina,28,54,55,54,46,237
South Dakota,NSD,10,NSD,NSD,NSD,24
Tennessee,51,158,195,203,116,723
Texas,169,268,233,269,192,1131
Utah,42,107,89,118,66,422
Vermont,NSD,NSD,NSD,NSD,NSD,55
Virginia,54,132,142,150,55,533
Washington,67,125,126,206,171,695
West Virginia,18,110,153,131,56,468
Wisconsin,44,131,107,115,86,483
Wyoming,NSD,NSD,NSD,13,10,45
