Location,Male,Female,Total
United States,14730,8427,23157
Alabama,105,60,165
Alaska,50,31,81
Arizona,312,214,526
Arkansas,89,80,169
California,1123,596,1719
Colorado,230,177,407
Connecticut,148,53,201
Delaware,52,30,82
District of Columbia,26,18,44
Florida,791,535,1326
Georgia,315,221,536
Hawaii,40,22,62
Idaho,34,25,59
Illinois,840,311,1151
Indiana,255,120,375
Iowa,98,73,171
Kansas,105,66,171
Kentucky,413,260,673
Louisiana,112,57,169
Maine,68,32,100
Maryland,443,214,657
Massachusetts,477,214,691
Michigan,425,260,685
Minnesota,172,118,290
Mississippi,58,53,111
Missouri,350,189,539
Montana,33,18,51
Nebraska,29,24,53
Nevada,234,212,446
New Hampshire,79,54,133
New Jersey,435,167,602
New Mexico,198,121,319
New York,1077,453,1530
North Carolina,518,315,833
North Dakota,NSD,NSD,NSD
Ohio,883,472,1355
Oklahoma,266,265,531
Oregon,205,156,361
Pennsylvania,556,271,827
Rhode Island,102,38,140
South Carolina,132,105,237
South Dakota,13,11,24
Tennessee,412,311,723
Texas,773,358,1131
Utah,256,166,422
Vermont,35,20,55
Virginia,318,215,533
Washington,422,273,695
West Virginia,285,183,468
Wisconsin,316,167,483
Wyoming,22,23,45
