Location,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic,Total
United States,17927,1339,1373,21089
Alabama,177,NSD,NSD,187
Alaska,49,NSD,NSD,62
Arizona,483,19,91,626
Arkansas,177,NSD,NSD,189
California,1442,130,302,1929
Colorado,246,10,45,304
Connecticut,193,10,19,223
Delaware,92,NSD,NSD,103
District of Columbia,NSD,NSD,NSD,34
Florida,1477,54,115,1674
Georgia,494,NSD,NSD,534
Hawaii,43,NSD,NSD,74
Idaho,75,NSD,NSD,79
Illinois,665,124,68,867
Indiana,262,NSD,NSD,289
Iowa,142,NSD,NSD,147
Kansas,93,NSD,NSD,104
Kentucky,577,NSD,NSD,591
Louisiana,112,NSD,NSD,123
Maine,88,NSD,NSD,90
Maryland,384,NSD,NSD,509
Massachusetts,492,22,33,549
Michigan,573,80,35,695
Minnesota,195,NSD,NSD,235
Mississippi,97,NSD,NSD,100
Missouri,541,NSD,NSD,599
Montana,44,NSD,NSD,54
Nebraska,53,NSD,NSD,58
Nevada,374,26,31,439
New Hampshire,115,NSD,NSD,116
New Jersey,289,47,34,373
New Mexico,93,NSD,NSD,191
New York,832,97,120,1074
North Carolina,720,NSD,NSD,776
North Dakota,15,NSD,NSD,18
Ohio,1025,77,19,1124
Oklahoma,442,NSD,NSD,510
Oregon,305,NSD,NSD,332
Pennsylvania,579,NSD,NSD,629
Rhode Island,95,NSD,NSD,111
South Carolina,246,NSD,NSD,271
South Dakota,27,NSD,NSD,32
Tennessee,603,NSD,NSD,633
Texas,823,62,223,1123
Utah,301,NSD,NSD,336
Vermont,42,NSD,NSD,43
Virginia,342,NSD,NSD,389
Washington,546,25,20,628
West Virginia,443,NSD,NSD,451
Wisconsin,360,31,17,415
Wyoming,44,NSD,NSD,47
