Location,"WhiteNon-Hispanic","BlackNon-Hispanic",Hispanic,Total
United States,19132,1489,1634,22784
Alabama,167,NSD,NSD,176
Alaska,51,NSD,NSD,66
Arizona,441,11,91,562
Arkansas,163,NSD,NSD,169
California,1429,121,315,1938
Colorado,318,13,79,418
Connecticut,187,NSD,NSD,209
Delaware,104,NSD,NSD,113
District of Columbia,10,NSD,NSD,51
Florida,1362,57,127,1576
Georgia,475,NSD,NSD,535
Hawaii,50,NSD,NSD,77
Idaho,74,NSD,NSD,77
Illinois,667,145,76,907
Indiana,330,NSD,NSD,356
Iowa,153,NSD,NSD,172
Kansas,106,NSD,NSD,118
Kentucky,650,NSD,NSD,669
Louisiana,109,NSD,NSD,116
Maine,79,NSD,NSD,85
Maryland,437,NSD,NSD,546
Massachusetts,596,21,36,655
Michigan,594,85,18,714
Minnesota,239,NSD,NSD,286
Mississippi,76,NSD,NSD,79
Missouri,510,NSD,NSD,595
Montana,52,NSD,NSD,63
Nebraska,43,NSD,NSD,53
Nevada,382,27,40,461
New Hampshire,150,NSD,NSD,154
New Jersey,364,45,43,454
New Mexico,100,NSD,NSD,243
New York,1027,115,168,1356
North Carolina,758,NSD,NSD,822
North Dakota,NSD,NSD,NSD,10
Ohio,1153,95,18,1272
Oklahoma,419,NSD,NSD,483
Oregon,360,10,12,392
Pennsylvania,688,47,12,752
Rhode Island,125,NSD,NSD,142
South Carolina,225,NSD,NSD,243
South Dakota,26,NSD,NSD,34
Tennessee,595,NSD,NSD,633
Texas,811,82,262,1178
Utah,355,NSD,NSD,381
Vermont,53,NSD,NSD,55
Virginia,510,NSD,NSD,575
Washington,591,30,29,697
West Virginia,532,NSD,NSD,550
Wisconsin,395,49,19,473
Wyoming,41,NSD,NSD,43
