"Location","White, Non-Hispanic","Black Non-Hispanic","Hispanic","Total"
United States,19239,1619,1718,23157
Alabama,148,NSD,NSD,165
Alaska,63,NSD,NSD,81
Arizona,394,16,81,526
Arkansas,162,NSD,NSD,169
California,1256,95,298,1719
Colorado,329,10,60,407
Connecticut,175,NSD,NSD,201
Delaware,70,NSD,NSD,82
District of Columbia,NSD,34,NSD,44
Florida,1134,51,115,1326
Georgia,479,NSD,NSD,536
Hawaii,37,NSD,NSD,62
Idaho,57,NSD,NSD,59
Illinois,853,182,94,1151
Indiana,337,NSD,NSD,375
Iowa,160,NSD,NSD,171
Kansas,159,NSD,NSD,171
Kentucky,652,NSD,NSD,673
Louisiana,150,NSD,NSD,169
Maine,96,NSD,NSD,100
Maryland,507,NSD,NSD,657
Massachusetts,617,26,42,691
Michigan,558,78,35,685
Minnesota,234,NSD,NSD,290
Mississippi,103,NSD,NSD,111
Missouri,466,NSD,NSD,539
Montana,42,NSD,NSD,51
Nebraska,47,NSD,NSD,53
Nevada,366,30,30,446
New Hampshire,129,NSD,NSD,133
New Jersey,472,61,63,602
New Mexico,121,NSD,NSD,319
New York,1145,140,196,1530
North Carolina,767,NSD,NSD,833
North Dakota,NSD,NSD,NSD,NSD
Ohio,1224,96,28,1355
Oklahoma,433,17,13,531
Oregon,339,NSD,NSD,361
Pennsylvania,738,42,26,827
Rhode Island,132,NSD,NSD,140
South Carolina,217,NSD,NSD,237
South Dakota,24,NSD,NSD,24
Tennessee,673,NSD,NSD,723
Texas,770,82,266,1131
Utah,378,NSD,NSD,422
Vermont,52,NSD,NSD,55
Virginia,447,NSD,NSD,533
Washington,612,24,19,695
West Virginia,457,NSD,NSD,468
Wisconsin,407,45,17,483
Wyoming,36,NSD,NSD,45
