"Location","White,Non-Hispanic","Black, Non-Hispanic","Hispanic","Total"
United States,20599,1926,1958,25052
Alabama,150,NSD,NSD,166
Alaska,54,NSD,NSD,69
Arizona,390,NSD,NSD,527
Arkansas,156,NSD,NSD,162
California,1373,127,383,1948
Colorado,350,NSD,NSD,433
Connecticut,361,28,46,439
Delaware,93,NSD,NSD,113
District of Columbia,NSD,NSD,NSD,60
Florida,1084,49,114,1268
Georgia,475,NSD,NSD,530
Hawaii,37,NSD,NSD,69
Idaho,70,NSD,NSD,77
Illinois,747,188,105,1072
Indiana,327,NSD,NSD,360
Iowa,166,NSD,NSD,179
Kansas,138,NSD,NSD,158
Kentucky,641,NSD,NSD,665
Louisiana,220,NSD,NSD,265
Maine,118,NSD,NSD,125
Maryland,550,176,10,749
Massachusetts,784,36,62,888
Michigan,741,111,44,909
Minnesota,237,NSD,NSD,305
Mississippi,90,NSD,NSD,100
Missouri,524,NSD,NSD,620
Montana,59,NSD,NSD,67
Nebraska,37,NSD,NSD,41
Nevada,325,26,35,398
New Hampshire,152,NSD,NSD,157
New Jersey,513,86,67,675
New Mexico,142,NSD,NSD,322
New York,1254,146,238,1681
North Carolina,752,NSD,NSD,834
North Dakota,11,NSD,NSD,11
Ohio,1469,132,25,1630
Oklahoma,431,18,15,511
Oregon,269,NSD,NSD,301
Pennsylvania,873,48,28,958
Rhode Island,167,NSD,NSD,190
South Carolina,225,NSD,NSD,247
South Dakota,27,NSD,NSD,34
Tennessee,707,NSD,NSD,767
Texas,716,72,247,1053
Utah,398,NSD,NSD,432
Vermont,66,NSD,NSD,70
Virginia,549,70,11,640
Washington,561,27,22,640
West Virginia,466,NSD,NSD,490
Wisconsin,511,49,28,599
Wyoming,43,NSD,NSD,48
