"Location","White Non-Hispanic","Black,Non-Hispanic","Hispanic","Total"
"United States","23574","2298","2107","28647"
"Alabama","244","NSD","NSD","270"
"Alaska","52","NSD","NSD","76"
"Arizona","431","16","113","589"
"Arkansas","160","NSD","NSD","173"
"California","1421","135","381","2024"
"Colorado","398","19","86","517"
"Connecticut","443","21","58","525"
"Delaware","106","NSD","NSD","124"
"District of Columbia","10","NSD","NSD","63"
"Florida","1174","48","144","1399"
"Georgia","623","71","10","710"
"Hawaii","45","NSD","NSD","59"
"Idaho","74","NSD","NSD","78"
"Illinois","869","225","91","1205"
"Indiana","428","22","11","462"
"Iowa","147","NSD","NSD","158"
"Kansas","160","NSD","NSD","173"
"Kentucky","699","NSD","NSD","729"
"Louisiana","218","NSD","NSD","260"
"Maine","165","NSD","NSD","171"
"Maryland","634","259","18","921"
"Massachusetts","985","40","86","1140"
"Michigan","829","156","44","1052"
"Minnesota","261","NSD","NSD","318"
"Mississippi","102","NSD","NSD","115"
"Missouri","576","NSD","NSD","696"
"Montana","46","NSD","NSD","53"
"Nebraska","49","NSD","NSD","56"
"Nevada","319","23","24","375"
"New Hampshire","287","NSD","NSD","297"
"New Jersey","559","83","77","728"
"New Mexico","164","NSD","NSD","402"
"New York","1345","150","201","1739"
"North Carolina","856","NSD","NSD","967"
"North Dakota","26","NSD","NSD","31"
"Ohio","1896","162","38","2106"
"Oklahoma","413","21","12","502"
"Oregon","309","NSD","NSD","340"
"Pennsylvania","982","60","39","1092"
"Rhode Island","171","12","21","205"
"South Carolina","476","NSD","NSD","515"
"South Dakota","29","NSD","NSD","33"
"Tennessee","808","NSD","NSD","863"
"Texas","804","89","243","1151"
"Utah","406","NSD","NSD","455"
"Vermont","62","NSD","NSD","64"
"Virginia","635","91","14","758"
"Washington","563","36","25","673"
"West Virginia","539","NSD","NSD","554"
"Wisconsin","527","67","26","627"
"Wyoming","49","NSD","NSD","54"
