"Location","White, Non-Hispanic","Black-Non-Hispanic","Hispanic","Total"
"United States","33450","4374","3440","42249"
"Alabama","282","53","NSD","343"
"Alaska","70","NSD","NSD","94"
"Arizona","532","21","168","769"
"Arkansas","159","NSD","NSD","169"
"California","1397","137","372","2012"
"Colorado","408","11","105","536"
"Connecticut","677","54","111","855"
"Delaware","135","17","NSD","154"
"District of Columbia","21","177","NSD","209"
"Florida","2216","147","407","2798"
"Georgia","783","109","18","918"
"Hawaii","38","NSD","NSD","77"
"Idaho","110","NSD","NSD","119"
"Illinois","1230","438","204","1947"
"Indiana","706","69","15","794"
"Iowa","163","10","NSD","183"
"Kansas","133","NSD","NSD","146"
"Kentucky","918","58","12","989"
"Louisiana","264","64","14","346"
"Maine","289","NSD","NSD","301"
"Maryland","1189","560","47","1821"
"Massachusetts","1643","82","214","1990"
"Michigan","1376","269","80","1762"
"Minnesota","310","43","NSD","396"
"Mississippi","157","19","NSD","180"
"Missouri","698","194","13","914"
"Montana","37","NSD","NSD","42"
"Nebraska","37","NSD","NSD","44"
"Nevada","339","31","27","408"
"New Hampshire","416","NSD","11","437"
"New Jersey","1017","193","180","1409"
"New Mexico","120","NSD","205","349"
"New York","2110","338","473","3009"
"North Carolina","1313","132","31","1506"
"North Dakota","44","NSD","NSD","54"
"Ohio","3217","322","63","3613"
"Oklahoma","356","23","11","444"
"Oregon","276","NSD","20","312"
"Pennsylvania","1989","152","60","2235"
"Rhode Island","248","NSD","22","279"
"South Carolina","581","41","NSD","628"
"South Dakota","39","NSD","NSD","42"
"Tennessee","1045","111","20","1186"
"Texas","920","101","329","1375"
"Utah","423","NSD","30","466"
"Vermont","98","NSD","NSD","101"
"Virginia","886","188","31","1130"
"Washington","575","32","44","709"
"West Virginia","694","34","NSD","733"
"Wisconsin","720","82","47","866"
"Wyoming","46","NSD","NSD","50"

