"Location","Natural and Semisynthetic Opioids (e.g. oxycodone, hydrocodone)","Synthetic Opioids, other than Methadone (e.g. fentanyl, tramadol)","Methadone","Heroin"
"United States","12159","5544","3400","10574"
"Alabama","90","47","44","122"
"Alaska","40","14","12","25"
"Arizona","290","57","62","197"
"Arkansas","119","32","29","NSD"
"California","1047","194","337","561"
"Colorado","259","80","51","156"
"Connecticut","157","94","50","299"
"Delaware","38","29","24","54"
"District of Columbia","19","13","NSD","37"
"Florida","697","343","227","344"
"Georgia","388","174","124","153"
"Hawaii","35","NSD","10","12"
"Idaho","42","13","18","11"
"Illinois","253","127","106","711"
"Indiana","149","83","37","173"
"Iowa","81","29","16","37"
"Kansas","91","39","34","19"
"Kentucky","344","179","59","228"
"Louisiana","93","29","20","107"
"Maine","80","62","29","38"
"Maryland","388","230","153","313"
"Massachusetts","178","453","88","469"
"Michigan","328","178","146","525"
"Minnesota","102","44","81","100"
"Mississippi","63","24","NSD","23"
"Missouri","237","109","53","334"
"Montana","22","14","16","NSD"
"Nebraska","30","13","NSD","NSD"
"Nevada","224","32","64","64"
"New Hampshire","81","151","29","98"
"New Jersey","245","111","50","424"
"New Mexico","223","66","45","139"
"New York","608","294","231","825"
"North Carolina","462","217","131","266"
"North Dakota","17","10","NSD","NSD"
"Ohio","618","590","107","1208"
"Oklahoma","370","73","67","26"
"Oregon","137","33","59","124"
"Pennsylvania","411","217","81","503"
"Rhode Island","70","82","24","66"
"South Carolina","319","110","77","64"
"South Dakota","20","NSD","NSD","NSD"
"Tennessee","554","132","71","148"
"Texas","471","157","116","425"
"Utah","367","68","47","110"
"Vermont","21","21","NSD","33"
"Virginia","323","176","105","253"
"Washington","288","62","115","289"
"West Virginia","363","122","35","163"
"Wisconsin","279","90","78","270"
"Wyoming","28","12","NSD","10"
